year,month,day,store_number,zip_code,county_number,category,vendor_number,item_number,pack,bottle_vol,bottle_cost,state_bottle_retail,bottles_sold,sale,fd,vol_sold,store_subnumber
2016,1,4,5022,-15271,77,1031200,380,41989,12,750,6.5,9.75,4,39.0,3.8147485,3.0,97
2016,1,4,2460,-15095,100,1062100,260,42166,12,750,10.0,15.0,2,30.0,3.5312523999999996,1.5,100
2016,1,4,2590,-13134,57,1031200,380,41989,12,750,6.5,9.75,5,48.75,4.057151999999999,3.75,5
2016,1,4,2648,-15271,77,1031200,380,41989,12,750,6.5,9.75,6,58.5,4.256092,4.5,4
2016,1,4,4312,-14035,78,1031200,380,41989,12,750,6.5,9.75,12,117.0,5.019722499999999,9.0,100
2016,1,4,2662,-12775,70,1062100,260,42166,12,750,10.0,15.0,2,30.0,3.5312523999999996,1.5,100
2016,1,4,2650,-13999,83,1031200,380,41989,12,750,6.5,9.75,3,29.25,3.5039816,2.25,100
2016,1,4,3952,-12814,82,1031200,380,41989,12,750,6.5,9.75,12,117.0,5.019722499999999,9.0,100
2016,1,4,2521,-15271,77,1031200,380,41989,12,750,6.5,9.75,12,117.0,5.019722499999999,9.0,100
2016,1,4,4633,-14026,78,1031200,380,41989,12,750,6.5,9.75,1,9.75,2.3350883,0.75,520
2016,1,4,4794,-12935,29,1031200,380,41989,12,750,6.5,9.75,2,19.5,3.0692956000000002,1.5,100
2016,1,4,4000,-13957,43,1031200,380,41989,12,750,6.5,9.75,1,9.75,2.3350883,0.75,100
2016,1,4,2538,-14834,7,1031200,380,41989,12,750,6.5,9.75,3,29.25,3.5039816,2.25,3
2016,1,4,4148,-14892,10,1031200,380,41989,12,750,6.5,9.75,2,19.5,3.0692956000000002,1.5,479
2016,1,4,4152,-13981,43,1031200,380,41989,12,750,6.5,9.75,1,9.75,2.3350883,0.75,100
2016,1,4,4166,-14888,10,1031200,380,41989,12,750,6.5,9.75,2,19.5,3.0692956000000002,1.5,100
2016,1,4,2584,-12909,56,1031200,380,41989,12,750,6.5,9.75,3,29.25,3.5039816,2.25,100
2016,1,4,4641,-15221,77,1031200,380,41989,12,750,6.5,9.75,3,29.25,3.5039816,2.25,573
2016,1,4,2573,-12775,70,1031200,380,41989,12,750,6.5,9.75,2,19.5,3.0692956000000002,1.5,100
2016,1,4,4633,-14026,78,1031200,380,42002,6,500,4.89,7.34,3,22.02,3.1991857999999995,1.5,520
2016,1,4,4402,-13209,92,1031200,380,41989,12,750,6.5,9.75,4,39.0,3.8147485,3.0,80
2016,1,4,2498,-14930,33,1031200,380,41989,12,750,6.5,9.75,3,29.25,3.5039816,2.25,100
2016,1,4,4296,-12971,89,1031200,380,41989,12,750,6.5,9.75,2,19.5,3.0692956000000002,1.5,100
2016,1,4,4617,-15219,77,1031200,380,41989,12,750,6.5,9.75,3,29.25,3.5039816,2.25,100
2016,1,4,4673,-12880,56,1031200,380,41989,12,750,6.5,9.75,4,39.0,3.8147485,3.0,100
2016,1,4,2549,-15411,91,1031200,380,41989,12,750,6.5,9.75,12,117.0,5.019722499999999,9.0,100
2016,1,4,2539,-15410,42,1031200,380,42002,6,500,4.89,7.34,6,44.04,3.946628,3.0,100
2016,1,4,2588,-13133,57,1031200,380,42009,6,1750,10.99,16.49,6,98.94,4.833948,10.5,6
2016,1,4,2591,-15514,15,1031200,380,42002,6,500,4.89,7.34,1,7.34,2.037548,0.5,100
2016,1,4,2448,-15411,91,1031200,380,42153,12,750,6.5,9.75,2,19.5,3.0692956000000002,1.5,100
2016,1,4,2538,-14834,7,1062300,305,42162,12,750,9.42,14.13,12,169.56,5.433279,9.0,3
2016,1,4,2647,-13125,57,1062300,305,42162,12,750,9.42,14.13,12,169.56,5.433279,9.0,7
